No,;Time;;;Protocol;Length;Source;Destination;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1999;15,938887;;;TCP;54;192,168,43,93;34,98,75,36;;;15,938887;16,804153;0,865266;;0,821666;0,0436;-0,778066
2442;16,804153;;;TLSv1,2;93;192,168,43,93;142,251,12,132;;;16,804153;16,847753;0,0436;;0,038749;0,004851;-0,033898
2443;16,847753;;;TCP;54;142,251,12,132;192,168,43,93;;;16,847753;16,852604;0,004851;;-0,035867;0,040718;0,076585
2444;16,852604;;;TLSv1,2;93;142,251,12,132;192,168,43,93;;;16,852604;16,893322;0,040718;;-0,079286;0,120004;0,19929
2445;16,893322;;;TCP;54;192,168,43,93;142,251,12,132;;;16,893322;17,013326;0,120004;;0,119709;0,000295;-0,119414
2446;17,013326;;;TCP;55;192,168,43,93;114.125.224.206;;;17,013326;17,013621;0,000295;;-0,017986;0,018281;0,036267
2447;17,013621;;;TCP;55;192,168,43,93;114.125.224.206;;;17,013621;17,031902;0,018281;;0,014042;0,004239;-0,009803
2448;17,031902;;;TCP;54;114.125.224.206;192,168,43,93;;;17,031902;17,036141;0,004239;;-0,000997;0,005236;0,006233
2449;17,036141;;;TCP;54;114.125.224.206;192,168,43,93;;;17,036141;17,041377;0,005236;;-0,035403;0,040639;0,076042
2450;17,041377;;;TCP;55;192,168,43,93;114,125,240,13;;;17,041377;17,082016;0,040639;;-0,15521;0,195849;0,351059
2451;17,082016;;;TCP;54;114,125,240,13;192,168,43,93;;;17,082016;17,277865;0,195849;;0,160821;0,035028;-0,125793
2452;17,277865;;;TCP;55;192,168,43,93;142,251,12,94;;;17,277865;17,312893;0,035028;;0,018641;0,016387;-0,002254
2453;17,312893;;;TCP;54;142,251,12,94;192,168,43,93;;;17,312893;17,329280;0,016387;;0,016373;1,4E-05;-0,016359
2454;17,329280;;;TCP;55;192,168,43,93;142,251,12,94;;;17,329280;17,329294;1,4E-05;;-0,000168;0,000182;0,00035
2455;17,329294;;;TCP;55;192,168,43,93;117,18,237,29;;;17,329294;17,329476;0,000182;;0,000129;5,3E-05;-7,6E-05
2456;17,329476;;;TCP;55;192,168,43,93;142,251,12,94;;;17,329476;17,329529;5,3E-05;;9E-06;4,4E-05;3,5E-05
2457;17,329529;;;TCP;55;192,168,43,93;13,33,33,114;;;17,329529;17,329573;4,4E-05;;-2E-06;4,6E-05;4,8E-05
2458;17,329573;;;TCP;55;192,168,43,93;34,107,221,82;;;17,329573;17,329619;4,6E-05;;-0,044454;0,0445;0,088954
2459;17,329619;;;TCP;55;192,168,43,93;34,107,221,82;;;17,329619;17,374119;0,0445;;0,0445;0;-0,0445
2460;17,374119;;;TCP;54;142,251,12,94;192,168,43,93;;;17,374119;17,374119;0;;0;0;0
2461;17,374119;;;TCP;54;142,251,12,94;192,168,43,93;;;17,374119;17,374119;0;;0;0;0
2462;17,374119;;;TCP;54;117,18,237,29;192,168,43,93;;;17,374119;17,374119;0;;-0,006715;0,006715;0,01343
2463;17,374119;;;TCP;54;34,107,221,82;192,168,43,93;;;17,374119;17,380834;0,006715;;0,006715;0;-0,006715
2464;17,380834;;;TCP;54;13,33,33,114;192,168,43,93;;;17,380834;17,380834;0;;-0,357054;0,357054;0,714108
2465;17,380834;;;TCP;54;34,107,221,82;192,168,43,93;;;17,380834;17,737888;0,357054;;0,306406;0,050648;-0,255758
2466;17,737888;;;TCP;55;192,168,43,93;142,251,12,94;;;17,737888;17,788536;0,050648;;-0,036098;0,086746;0,122844
2467;17,788536;;;TCP;54;142,251,12,94;192,168,43,93;;;17,788536;17,875282;0,086746;;0,032138;0,054608;0,02247
2468;17,875282;;;TCP;55;192,168,43,93;142,251,12,94;;;17,875282;17,929890;0,054608;;0,038704;0,015904;-0,0228
2469;17,929890;;;TCP;54;142,251,12,94;192,168,43,93;;;17,929890;17,945794;0,015904;;0,003685;0,012219;0,008534
2470;17,945794;;;TCP;55;192,168,43,93;74,125,96,6;;;17,945794;17,958013;0,012219;;-0,022763;0,034982;0,057745
2471;17,958013;;;TCP;55;192,168,43,93;117,18,237,29;;;17,958013;17,992995;0,034982;;0,034982;0;-0,034982
2472;17,992995;;;TCP;54;74,125,96,6;192,168,43,93;;;17,992995;17,992995;0;;-0,245236;0,245236;0,490472
2473;17,992995;;;TCP;54;117,18,237,29;192,168,43,93;;;17,992995;18,238231;0,245236;;0,192735;0,052501;-0,140234
2484;18,238231;;;TCP;55;192,168,43,93;74,125,12,168;;;18,238231;18,290732;0,052501;;-0,713225;0,765726;1,478951
2556;18,290732;;;TCP;54;74,125,12,168;192,168,43,93;;;18,290732;19,056458;0,765726;;0,765585;0,000141;-0,765444
3279;19,056458;;;TCP;55;192,168,43,93;74,125,12,168;;;19,056458;19,056599;0,000141;;-0,066958;0,067099;0,134057
3280;19,056599;;;TCP;55;192,168,43,93;74,125,12,168;;;19,056599;19,123698;0,067099;;-0,342485;0,409584;0,752069
3325;19,123698;;;TCP;55;192,168,43,93;114.125.224.205;;;19,123698;19,533282;0,409584;;0,409185;0,000399;-0,408786
3367;19,533282;;;TCP;54;192,168,43,93;142,251,12,94;;;19,533282;19,533681;0,000399;;0,000311;8,8E-05;-0,000223
3368;19,533681;;;SSL;78;192,168,43,93;13,33,33,114;;;19,533681;19,533769;8,8E-05;;-0,331756;0,331844;0,6636
3369;19,533769;;;TCP;54;192,168,43,93;13,33,33,114;;;19,533769;19,865613;0,331844;;0,320032;0,011812;-0,30822
3376;19,865613;;;TCP;54;192,168,43,93;142,251,12,94;;;19,865613;19,877425;0,011812;;-0,180112;0,191924;0,372036
3377;19,877425;;;TCP;78;192,168,43,93;13,33,33,114;;;19,877425;20,069349;0,191924;;0,135777;0,056147;-0,07963
3392;20,069349;;;TCP;55;192,168,43,93;74,125,12,168;;;20,069349;20,125496;0,056147;;-0,034886;0,091033;0,125919
3394;20,125496;;;TCP;55;192,168,43,93;114.125.224.205;;;20,125496;20,216529;0,091033;;-0,129561;0,220594;0,350155
3405;20,216529;;;TCP;78;192,168,43,93;13,33,33,114;;;20,216529;20,437123;0,220594;;0,220244;0,00035;-0,219894
3409;20,437123;;;TLSv1,2;130;192,168,43,93;52,242,97,97;;;20,437123;20,437473;0,00035;;0,00035;0;-0,00035
3410;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,437473;0;;0;0;0
3411;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,437473;0;;0;0;0
3412;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,437473;0;;0;0;0
3413;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,437473;0;;0;0;0
3414;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,437473;0;;-0,098046;0,098046;0,196092
3415;20,437473;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,437473;20,535519;0,098046;;-0,083879;0,181925;0,265804
3416;20,535519;;;TCP;54;192,168,43,93;142,251,12,94;;;20,535519;20,717444;0,181925;;0,127276;0,054649;-0,072627
3469;20,717444;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,717444;20,772093;0,054649;;0,052364;0,002285;-0,050079
3533;20,772093;;;TCP;54;74,125,12,168;192,168,43,93;;;20,772093;20,774378;0,002285;;-0,022806;0,025091;0,047897
3541;20,774378;;;TCP;54;74,125,12,168;192,168,43,93;;;20,774378;20,799469;0,025091;;-0,072552;0,097643;0,170195
3555;20,799469;;;TCP;54;114.125.224.205;192,168,43,93;;;20,799469;20,897112;0,097643;;0,072335;0,025308;-0,047027
3624;20,897112;;;TCP;78;192,168,43,93;13,33,33,114;;;20,897112;20,922420;0,025308;;0,025308;0;-0,025308
3633;20,922420;;;TCP;54;142,251,12,94;192,168,43,93;;;20,922420;20,922420;0;;0;0;0
3634;20,922420;;;TCP;54;13,33,33,114;192,168,43,93;;;20,922420;20,922420;0;;0;0;0
3635;20,922420;;;TCP;54;13,33,33,114;192,168,43,93;;;20,922420;20,922420;0;;0;0;0
3637;20,922420;;;TCP;54;142,251,12,94;192,168,43,93;;;20,922420;20,922420;0;;-0,000182;0,000182;0,000364
3639;20,922420;;;TCP;54;13,33,33,114;192,168,43,93;;;20,922420;20,922602;0,000182;;8E-06;0,000174;0,000166
3640;20,922602;;;TCP;54;192,168,43,93;13,33,33,114;;;20,922602;20,922776;0,000174;;-0,018054;0,018228;0,036282
3641;20,922776;;;TCP;54;192,168,43,93;142,251,12,94;;;20,922776;20,941004;0,018228;;0,01437;0,003858;-0,010512
3652;20,941004;;;TCP;54;74,125,12,168;192,168,43,93;;;20,941004;20,944862;0,003858;;-0,021224;0,025082;0,046306
3667;20,944862;;;TCP;54;114.125.224.205;192,168,43,93;;;20,944862;20,969944;0,025082;;0,024945;0,000137;-0,024808
3670;20,969944;;;TCP;54;52,242,97,97;192,168,43,93;;;20,969944;20,970081;0,000137;;0,000137;0;-0,000137
3671;20,970081;;;TCP;54;52,242,97,97;192,168,43,93;;;20,970081;20,970081;0;;0;0;0
3672;20,970081;;;TCP;54;52,242,97,97;192,168,43,93;;;20,970081;20,970081;0;;-6E-05;6E-05;0,00012
3673;20,970081;;;TCP;54;52,242,97,97;192,168,43,93;;;20,970081;20,970141;6E-05;;6E-05;0;-6E-05
3674;20,970141;;;TCP;1454;192,168,43,93;52,242,97,97;;;20,970141;20,970141;0;;-0,001932;0,001932;0,003864
3675;20,970141;;;TCP;1380;192,168,43,93;52,242,97,97;;;20,970141;20,972073;0,001932;;0,001932;0;-0,001932
3679;20,972073;;;TCP;54;13,33,33,114;192,168,43,93;;;20,972073;20,972073;0;;-9,8E-05;9,8E-05;0,000196
3681;20,972073;;;TCP;54;142,251,12,94;192,168,43,93;;;20,972073;20,972171;9,8E-05;;-0,000108;0,000206;0,000314
3686;20,972171;;;TCP;54;192,168,43,93;13,33,33,114;;;20,972171;20,972377;0,000206;;-0,021559;0,021765;0,043324
3687;20,972377;;;TCP;54;192,168,43,93;142,251,12,94;;;20,972377;20,994142;0,021765;;-0,100254;0,122019;0,222273
3710;20,994142;;;TCP;54;52,242,97,97;192,168,43,93;;;20,994142;21,116161;0,122019;;0,122019;0;-0,122019
3871;21,116161;;;TCP;54;142,251,12,94;192,168,43,93;;;21,116161;21,116161;0;;0;0;0
3873;21,116161;;;TCP;54;13,33,33,114;192,168,43,93;;;21,116161;21,116161;0;;0;0;0
3875;21,116161;;;TCP;54;52,242,97,97;192,168,43,93;;;21,116161;21,116161;0;;-0,144917;0,144917;0,289834
3877;21,116161;;;TCP;54;52,242,97,97;192,168,43,93;;;21,116161;21,261078;0,144917;;0,144758;0,000159;-0,144599
3953;21,261078;;;TLSv1,2;109;52,242,97,97;192,168,43,93;;;21,261078;21,261237;0,000159;;0,000159;0;-0,000159
3954;21,261237;;;TLSv1,2;109;52,242,97,97;192,168,43,93;;;21,261237;21,261237;0;;-5,6E-05;5,6E-05;0,000112
3955;21,261237;;;TLSv1,2;164;52,242,97,97;192,168,43,93;;;21,261237;21,261293;5,6E-05;;-0,000113;0,000169;0,000282
3956;21,261293;;;TCP;54;192,168,43,93;52,242,97,97;;;21,261293;21,261462;0,000169;;0,000127;4,2E-05;-8,5E-05
3957;21,261462;;;TLSv1,2;109;52,242,97,97;192,168,43,93;;;21,261462;21,261504;4,2E-05;;-0,024717;0,024759;0,049476
3958;21,261504;;;TCP;54;192,168,43,93;52,242,97,97;;;21,261504;21,286263;0,024759;;0,009248;0,015511;0,006263
3959;21,286263;;;TLSv1,2;96;52,242,97,97;192,168,43,93;;;21,286263;21,301774;0,015511;;0,015343;0,000168;-0,015175
3960;21,301774;;;TLSv1,2;775;52,242,97,97;192,168,43,93;;;21,301774;21,301942;0,000168;;-0,667767;0,667935;1,335702
3961;21,301942;;;TCP;54;192,168,43,93;52,242,97,97;;;21,301942;21,969877;0,667935;;0,667774;0,000161;-0,667613
3962;21,969877;;;TCP;54;117,18,237,29;192,168,43,93;;;21,969877;21,970038;0,000161;;-0,881879;0,88204;1,763919
3963;21,970038;;;TCP;54;192,168,43,93;117,18,237,29;;;21,970038;22,852078;0,88204;;0,881807;0,000233;-0,881574
3964;22,852078;;;TLSv1,2;100;192,168,43,93;13,33,33,105;;;22,852078;22,852311;0,000233;;0,000138;9,5E-05;-4,3E-05
3965;22,852311;;;TLSv1,2;93;192,168,43,93;34.117.237.239;;;22,852311;22,852406;9,5E-05;;-0,071751;0,071846;0,143597
3966;22,852406;;;TLSv1,2;93;192,168,43,93;13,33,33,105;;;22,852406;22,924252;0,071846;;0,054192;0,017654;-0,036538
3967;22,924252;;;TCP;54;13,33,33,105;192,168,43,93;;;22,924252;22,941906;0,017654;;0,017654;0;-0,017654
3968;22,941906;;;TCP;54;13,33,33,105;192,168,43,93;;;22,941906;22,941906;0;;0;0;0
3969;22,941906;;;TCP;54;34.117.237.239;192,168,43,93;;;22,941906;22,941906;0;;-0,012517;0,012517;0,025034
3970;22,941906;;;TLSv1,2;100;13,33,33,105;192,168,43,93;;;22,941906;22,954423;0,012517;;0,012517;0;-0,012517
3971;22,954423;;;TLSv1,2;93;13,33,33,105;192,168,43,93;;;22,954423;22,954423;0;;-0,041341;0,041341;0,082682
3972;22,954423;;;TLSv1,2;93;34.117.237.239;192,168,43,93;;;22,954423;22,995764;0,041341;;0,041187;0,000154;-0,041033
3973;22,995764;;;TCP;54;192,168,43,93;13,33,33,105;;;22,995764;22,995918;0,000154;;-0,014877;0,015031;0,029908
3974;22,995918;;;TCP;54;192,168,43,93;34.117.237.239;;;22,995918;23,010949;0,015031;;-1,611942;1,626973;3,238915
3975;23,010949;;;TCP;54;192,168,43,93;13,33,33,105;;;23,010949;24,637922;1,626973;;1,582869;0,044104;-1,538765
3988;24,637922;;;TCP;55;192,168,43,93;114,125,240,13;;;24,637922;24,682026;0,044104;;-0,877477;0,921581;1,799058
3989;24,682026;;;TCP;54;114,125,240,13;192,168,43,93;;;24,682026;25,603607;0,921581;;0,884699;0,036882;-0,847817
3990;25,603607;;;TCP;54;192,168,43,93;142,251,12,94;;;25,603607;25,640489;0,036882;;0,028555;0,008327;-0,020228
3991;25,640489;;;TCP;54;142,251,12,94;192,168,43,93;;;25,640489;25,648816;0,008327;;0,008223;0,000104;-0,008119
3992;25,648816;;;TCP;54;142,251,12,94;192,168,43,93;;;25,648816;25,648920;0,000104;;-0,210264;0,210368;0,420632
3993;25,648920;;;TCP;54;192,168,43,93;142,251,12,94;;;25,648920;25,859288;0,210368;;0,148679;0,061689;-0,08699
3994;25,859288;;;TLSv1,2;100;192,168,43,93;35.244.181.201;;;25,859288;25,920977;0,061689;;0,049764;0,011925;-0,037839
3995;25,920977;;;TCP;54;35.244.181.201;192,168,43,93;;;25,920977;25,932902;0,011925;;-0,091608;0,103533;0,195141
3996;25,932902;;;TLSv1,2;100;35.244.181.201;192,168,43,93;;;25,932902;26,036435;0,103533;;-0,939708;1,043241;1,982949
3997;26,036435;;;TCP;54;192,168,43,93;35.244.181.201;;;26,036435;27,079676;1,043241;;1,002782;0,040459;-0,962323
3998;27,079676;;;TCP;55;192,168,43,93;114.125.224.206;;;27,079676;27,120135;0,040459;;0,024631;0,015828;-0,008803
3999;27,120135;;;TCP;54;114.125.224.206;192,168,43,93;;;27,120135;27,135963;0,015828;;0,015685;0,000143;-0,015542
4000;27,135963;;;TCP;55;192,168,43,93;114.125.224.206;;;27,135963;27,136106;0,000143;;-0,056267;0,05641;0,112677
4001;27,136106;;;TCP;55;192,168,43,93;114,125,240,13;;;27,136106;27,192516;0,05641;;0,050418;0,005992;-0,044426
4002;27,192516;;;TCP;54;114,125,240,13;192,168,43,93;;;27,192516;27,198508;0,005992;;-0,238066;0,244058;0,482124
4003;27,198508;;;TCP;54;114.125.224.206;192,168,43,93;;;27,198508;27,442566;0,244058;;0,215184;0,028874;-0,18631
4004;27,442566;;;TCP;55;192,168,43,93;117,18,237,29;;;27,442566;27,471440;0,028874;;0,028856;1,8E-05;-0,028838
4005;27,471440;;;TCP;54;117,18,237,29;192,168,43,93;;;27,471440;27,471458;1,8E-05;;-0,000121;0,000139;0,00026
4006;27,471458;;;TCP;55;192,168,43,93;142,251,12,94;;;27,471458;27,471597;0,000139;;9E-05;4,9E-05;-4,1E-05
4007;27,471597;;;TCP;55;192,168,43,93;34,107,221,82;;;27,471597;27,471646;4,9E-05;;-0,045906;0,045955;0,091861
4008;27,471646;;;TCP;55;192,168,43,93;34,107,221,82;;;27,471646;27,517601;0,045955;;0,045955;0;-0,045955
4009;27,517601;;;TCP;54;34,107,221,82;192,168,43,93;;;27,517601;27,517601;0;;-0,006327;0,006327;0,012654
4010;27,517601;;;TCP;54;34,107,221,82;192,168,43,93;;;27,517601;27,523928;0,006327;;-0,080864;0,087191;0,168055
4011;27,523928;;;TCP;54;142,251,12,94;192,168,43,93;;;27,523928;27,611119;0,087191;;-0,021884;0,109075;0,130959
4012;27,611119;;;TCP;54;192,168,43,93;117,18,237,29;;;27,611119;27,720194;0,109075;;0,102254;0,006821;-0,095433
4013;27,720194;;;TCP;54;117,18,237,29;192,168,43,93;;;27,720194;27,727015;0,006821;;0,006716;0,000105;-0,006611
4014;27,727015;;;TCP;54;117,18,237,29;192,168,43,93;;;27,727015;27,727120;0,000105;;-0,215071;0,215176;0,430247
4015;27,727120;;;TCP;54;192,168,43,93;117,18,237,29;;;27,727120;27,942296;0,215176;;0,215029;0,000147;-0,214882
4016;27,942296;;;TCP;55;192,168,43,93;142,251,12,94;;;27,942296;27,942443;0,000147;;-0,136;0,136147;0,272147
4017;27,942443;;;TCP;55;192,168,43,93;142,251,12,94;;;27,942443;28,078590;0,136147;;0,135984;0,000163;-0,135821
4018;28,078590;;;TCP;55;192,168,43,93;117,18,237,29;;;28,078590;28,078753;0,000163;;-0,011953;0,012116;0,024069
4019;28,078753;;;TCP;55;192,168,43,93;74,125,96,6;;;28,078753;28,090869;0,012116;;0,012116;0;-0,012116
4020;28,090869;;;TCP;54;142,251,12,94;192,168,43,93;;;28,090869;28,090869;0;;-0,028621;0,028621;0,057242
4021;28,090869;;;TCP;54;142,251,12,94;192,168,43,93;;;28,090869;28,119490;0,028621;;0,011165;0,017456;0,006291
4022;28,119490;;;TCP;54;74,125,96,6;192,168,43,93;;;28,119490;28,136946;0,017456;;-0,17694;0,194396;0,371336
4023;28,136946;;;TCP;54;117,18,237,29;192,168,43,93;;;28,136946;28,331342;0,194396;;0,125119;0,069277;-0,055842
4024;28,331342;;;TCP;55;192,168,43,93;74,125,12,168;;;28,331342;28,400619;0,069277;;-0,393445;0,462722;0,856167
4025;28,400619;;;TCP;54;74,125,12,168;192,168,43,93;;;28,400619;28,863341;0,462722;;0,356602;0,10612;-0,250482
4026;28,863341;;;TLSv1,2;93;192,168,43,93;216,239,38,120;;;28,863341;28,969461;0,10612;;0,10612;0;-0,10612
4027;28,969461;;;TCP;54;216,239,38,120;192,168,43,93;;;28,969461;28,969461;0;;-0,210512;0,210512;0,421024
4028;28,969461;;;TLSv1,2;93;216,239,38,120;192,168,43,93;;;28,969461;29,179973;0,210512;;-1,390823;1,601335;2,992158
4029;29,179973;;;TCP;54;192,168,43,93;216,239,38,120;;;29,179973;30,781308;1,601335;;1,565963;0,035372;-1,530591
4037;30,781308;;;TCP;55;192,168,43,93;74,125,12,168;;;30,781308;30,816680;0,035372;;-0,125584;0,160956;0,28654
4058;30,816680;;;TCP;54;74,125,12,168;192,168,43,93;;;30,816680;30,977636;0,160956;;0,160825;0,000131;-0,160694
4242;30,977636;;;TCP;55;192,168,43,93;74,125,12,168;;;30,977636;30,977767;0,000131;;-0,196105;0,196236;0,392341
4243;30,977767;;;TCP;55;192,168,43,93;114.125.224.205;;;30,977767;31,174003;0,196236;;0,18456;0,011676;-0,172884
4346;31,174003;;;TCP;54;74,125,12,168;192,168,43,93;;;31,174003;31,185679;0,011676;;-0,673186;0,684862;1,358048
4374;31,185679;;;TCP;54;114.125.224.205;192,168,43,93;;;31,185679;31,870541;0,684862;;0,638111;0,046751;-0,59136
4475;31,870541;;;TLSv1,2;93;192,168,43,93;142,251,12,94;;;31,870541;31,917292;0,046751;;0,032135;0,014616;-0,017519
4476;31,917292;;;TCP;54;142,251,12,94;192,168,43,93;;;31,917292;31,931908;0,014616;;-0,131406;0,146022;0,277428
4477;31,931908;;;TLSv1,2;93;142,251,12,94;192,168,43,93;;;31,931908;32,077930;0,146022;;-0,032589;0,178611;0,2112
4478;32,077930;;;TCP;54;192,168,43,93;142,251,12,94;;;32,077930;32,256541;0,178611;;0,108731;0,06988;-0,038851
4479;32,256541;;;TCP;54;192,168,43,93;52,242,97,97;;;32,256541;32,326421;0,06988;;-0,207581;0,277461;0,485042
4480;32,326421;;;TCP;54;52,242,97,97;192,168,43,93;;;32,326421;32,603882;0,277461;;0,277353;0,000108;-0,277245
4481;32,603882;;;TCP;54;52,242,97,97;192,168,43,93;;;32,603882;32,603990;0,000108;;-0,28997;0,290078;0,580048
4482;32,603990;;;TCP;54;192,168,43,93;52,242,97,97;;;32,603990;32,894068;0,290078;;0,199483;0,090595;-0,108888
4485;32,894068;;;TCP;66;192,168,43,93;23.217.242.156;;;32,894068;32,984663;0,090595;;0,090364;0,000231;-0,090133
4486;32,984663;;;TCP;66;23.217.242.156;192,168,43,93;;;32,984663;32,984894;0,000231;;-0,004829;0,00506;0,009889
4487;32,984894;;;TCP;54;192,168,43,93;23.217.242.156;;;32,984894;32,989954;0,00506;;-0,097764;0,102824;0,200588
4488;32,989954;;;TLSv1,2;274;192,168,43,93;23.217.242.156;;;32,989954;33,092778;0,102824;;-0,205609;0,308433;0,514042
4489;33,092778;;;TCP;54;23.217.242.156;192,168,43,93;;;33,092778;33,401211;0,308433;;0,302212;0,006221;-0,295991
4490;33,401211;;;TLSv1,2;1454;23.217.242.156;192,168,43,93;;;33,401211;33,407432;0,006221;;0,006221;0;-0,006221
4491;33,407432;;;TCP;1454;23.217.242.156;192,168,43,93;;;33,407432;33,407432;0;;-0,000141;0,000141;0,000282
4492;33,407432;;;TLSv1,2;1350;23.217.242.156;192,168,43,93;;;33,407432;33,407573;0,000141;;-0,152014;0,152155;0,304169
4493;33,407573;;;TCP;54;192,168,43,93;23.217.242.156;;;33,407573;33,559728;0,152155;;0,152155;0;-0,152155
4494;33,559728;;;TLSv1,2;1454;23.217.242.156;192,168,43,93;;;33,559728;33,559728;0;;-0,000137;0,000137;0,000274
4495;33,559728;;;TLSv1,2;378;23.217.242.156;192,168,43,93;;;33,559728;33,559865;0,000137;;-0,008327;0,008464;0,016791
4496;33,559865;;;TCP;54;192,168,43,93;23.217.242.156;;;33,559865;33,568329;0,008464;;-0,027368;0,035832;0,0632
4497;33,568329;;;TLSv1,2;180;192,168,43,93;23.217.242.156;;;33,568329;33,604161;0,035832;;-0,133667;0,169499;0,303166
4498;33,604161;;;TCP;54;23.217.242.156;192,168,43,93;;;33,604161;33,773660;0,169499;;0,165088;0,004411;-0,160677
4499;33,773660;;;TLSv1,2;344;23.217.242.156;192,168,43,93;;;33,773660;33,778071;0,004411;;-0,065518;0,069929;0,135447
4500;33,778071;;;TLSv1,2;375;192,168,43,93;23.217.242.156;;;33,778071;33,848000;0,069929;;-0,09416;0,164089;0,258249
4501;33,848000;;;TCP;54;23.217.242.156;192,168,43,93;;;33,848000;34,012089;0,164089;;0,15878;0,005309;-0,153471
4504;34,012089;;;TCP;66;192,168,43,93;104,46,162,224;;;34,012089;34,017398;0,005309;;-0,05067;0,055979;0,106649
4505;34,017398;;;TLSv1,2;523;23.217.242.156;192,168,43,93;;;34,017398;34,073377;0,055979;;0,035128;0,020851;-0,014277
4507;34,073377;;;TCP;54;192,168,43,93;23.217.242.156;;;34,073377;34,094228;0,020851;;0,020647;0,000204;-0,020443
4508;34,094228;;;TCP;66;104,46,162,224;192,168,43,93;;;34,094228;34,094432;0,000204;;-0,000768;0,000972;0,00174
4509;34,094432;;;TCP;54;192,168,43,93;104,46,162,224;;;34,094432;34,095404;0,000972;;-0,030025;0,030997;0,061022
4510;34,095404;;;TLSv1,2;268;192,168,43,93;104,46,162,224;;;34,095404;34,126401;0,030997;;0,027327;0,00367;-0,023657
4511;34,126401;;;TCP;54;104,46,162,224;192,168,43,93;;;34,126401;34,130071;0,00367;;-0,0176;0,02127;0,03887
4513;34,130071;;;TCP;66;192,168,43,93;23,65,202,147;;;34,130071;34,151341;0,02127;;0,021103;0,000167;-0,020936
4514;34,151341;;;TCP;66;23,65,202,147;192,168,43,93;;;34,151341;34,151508;0,000167;;-0,000927;0,001094;0,002021
4515;34,151508;;;TCP;54;192,168,43,93;23,65,202,147;;;34,151508;34,152602;0,001094;;-0,032132;0,033226;0,065358
4516;34,152602;;;TLSv1,2;273;192,168,43,93;23,65,202,147;;;34,152602;34,185828;0,033226;;-0,137438;0,170664;0,308102
4517;34,185828;;;TCP;54;23,65,202,147;192,168,43,93;;;34,185828;34,356492;0,170664;;0,170664;0;-0,170664
4518;34,356492;;;TCP;1454;104,46,162,224;192,168,43,93;;;34,356492;34,356492;0;;-0,000198;0,000198;0,000396
4519;34,356492;;;TCP;1454;104,46,162,224;192,168,43,93;;;34,356492;34,356690;0,000198;;-0,125067;0,125265;0,250332
4520;34,356690;;;TCP;54;192,168,43,93;104,46,162,224;;;34,356690;34,481955;0,125265;;0,125265;0;-0,125265
4521;34,481955;;;TCP;1454;104,46,162,224;192,168,43,93;;;34,481955;34,481955;0;;-0,000244;0,000244;0,000488
4522;34,481955;;;TLSv1,2;256;104,46,162,224;192,168,43,93;;;34,481955;34,482199;0,000244;;-0,008457;0,008701;0,017158
4523;34,482199;;;TCP;54;192,168,43,93;104,46,162,224;;;34,482199;34,490900;0,008701;;0,008701;0;-0,008701
4524;34,490900;;;TLSv1,2;1454;23,65,202,147;192,168,43,93;;;34,490900;34,490900;0;;-0,000122;0,000122;0,000244
4525;34,490900;;;TCP;1454;23,65,202,147;192,168,43,93;;;34,490900;34,491022;0,000122;;-0,006234;0,006356;0,01259
4526;34,491022;;;TCP;54;192,168,43,93;23,65,202,147;;;34,491022;34,497378;0,006356;;-0,000514;0,00687;0,007384
4527;34,497378;;;TLSv1,2;212;192,168,43,93;104,46,162,224;;;34,497378;34,504248;0,00687;;-0,035066;0,041936;0,077002
4528;34,504248;;;TLSv1,2;1350;23,65,202,147;192,168,43,93;;;34,504248;34,546184;0,041936;;0,020215;0,021721;0,001506
4529;34,546184;;;TCP;54;192,168,43,93;23,65,202,147;;;34,546184;34,567905;0,021721;;-0,065958;0,087679;0,153637
4530;34,567905;;;TCP;54;104,46,162,224;192,168,43,93;;;34,567905;34,655584;0,087679;;0,087679;0;-0,087679
4531;34,655584;;;TLSv1,2;1454;23,65,202,147;192,168,43,93;;;34,655584;34,655584;0;;-0,000136;0,000136;0,000272
4532;34,655584;;;TLSv1,2;377;23,65,202,147;192,168,43,93;;;34,655584;34,655720;0,000136;;-0,005842;0,005978;0,01182
4533;34,655720;;;TCP;54;192,168,43,93;23,65,202,147;;;34,655720;34,661698;0,005978;;-0,011595;0,017573;0,029168
4534;34,661698;;;TLSv1,2;180;192,168,43,93;23,65,202,147;;;34,661698;34,679271;0,017573;;0,015667;0,001906;-0,013761
4535;34,679271;;;TLSv1,2;105;104,46,162,224;192,168,43,93;;;34,679271;34,681177;0,001906;;0,001343;0,000563;-0,00078
4536;34,681177;;;TLSv1,2;1024;192,168,43,93;104,46,162,224;;;34,681177;34,681740;0,000563;;-0,070972;0,071535;0,142507
4537;34,681740;;;TLSv1,2;1424;192,168,43,93;104,46,162,224;;;34,681740;34,753275;0,071535;;0,048951;0,022584;-0,026367
4538;34,753275;;;TCP;54;23,65,202,147;192,168,43,93;;;34,753275;34,775859;0,022584;;0,022584;0;-0,022584
